name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-02-15	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_29	Recently, the Sporting Liberties report highlighted the severe lack of sports facilities in the inner city. It is an example of inner city neglect. Regeneration of council housing in the inner city is beyond slow. Flat complexes are being left derelict and empty for years in the middle of a housing crisis. Regeneration at Glovers Court, Pearse House and St. Andrew’s Court is painfully slow. Verschoyle Court which is just a five-minute walk from this House has 70 one-bedroom units for senior citizens, which are damp, have mould and are the size of dog boxes. That is another example of inner city neglect. The Government’s legacy will be neglect of the inner city. When will the Government take regeneration of the inner city seriously and give it the attention it really needs?	spk_310
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-30	dail	33	Services for those Seeking Protection in Ireland: Statements	dbsect_9	Immigration is causing a breakdown in social cohesion in Irish society and it is happening on the Minister's watch. In the view of the public, and in the experience of service providers in local communities, there is simply no co-ordination of services and no proper communication, as has been highlighted again and again. The Government is treating communities like fools and they have lost trust in it. There is no meaningful engagement with local communities and no additional support to schools or local health clinics. I was contacted by a number of school principals last week, who feel genuinely overwhelmed by the lack of supports in their schools. There is no additional support for trauma therapy, SNAs or speech and language supports. There is absolutely nothing and teachers and principals are feeling overwhelmed. Because of the Government's failure to sit down and talk with communities about their concerns and worries, they do not believe what the Government is saying.They do not believe what they hear from the Government, Dublin City Council and local authorities around the country and why would they? The international protection system has never worked and we have been saying this for years. The Government approach has been shambolic from the start. Decisions have taken way too long. We need an efficient, compassionate and enforced immigration system just like Canada or Australia. We need to have effective control over our borders. People are frustrated when they hear stories of people arriving on flights with no passports. They have no faith in the Government's process for dealing with these cases. People are extremely frustrated because there is a housing crisis. They recognise the role of migrant workers every time they visit a hospital or when they have a dental appointment. They understand the need to have an effective immigration system but they do not see one in place. All they see is billions of euro being spent on hotels and filling the pockets of profiteers, some of whom are Members of this House. On top of this, our local communities are being sucked dry by the cost of housing, rent, the worsening health system, mortgages, childcare and the cost of living; it just does not add up. The longer the Government parties are in office, the worse it is for communities in Dublin's inner city, the worse it gets for communities such as Ringsend, Pearse Street, City Quay, Kevin Street and all the inner-city communities. The immigration system is broken and vulnerable communities have to pick up the pieces. The responsibility is no one else's but Government's.	spk_170
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-30	dail	33	International Court of Justice and Genocide in Gaza: Motion [Private Members]	dbsect_11	"Last Friday the International Court of Justice made a decisive ruling. It ruled that South Africa has a plausible case against Israel for the crime of committing genocide. It is imperative that Ireland acts and joins South Africa in this case. lreland and the EU have a duty to promote, protect and support peace and stability in the region. We must make the terror state of Israel an outcast among the international community. The EU must mirror its reaction to Russia's brutal war on Ukraine. We must see an EU-wide ban on athletes and teams representing the apartheid state of Israel. Sports cannot simply continue as if this genocide is not happening. The Irish Government should be standing by our athletes who do not want to compete against Israel. The Olympic committee stood on the right side of history in the 1960s when it barred apartheid South Africa. It is now time for the Olympic committee once again to take a stand against apartheid and ban Israel for participating in the upcoming Olympic Games. It is clear that the Olympic committee will not do this off its own bat. We need the Minister for Foreign Affairs and other EU states to call publicly on the Olympic committee to act and to stand by its declaration against ""apartheid in sport"", a declaration that calls for the total isolation of apartheid in sport. We also need the Olympic Federation of Ireland to take action and step forward. I commend the members of the Irish basketball team who are refusing to play against Israel next month. Basketball Ireland, which backed the sporting boycott of Russia, should now call for the same against Israel. Basketball Ireland should be standing by its players and calling on FIBA, basketball's world governing body, to ban Israel from competing due to the crimes of its government. History has shown us the strength of sport in fighting injustice and breaking apartheid. The message from Ireland needs to be loud and clear: ""Don't play with Apartheid."""	spk_195
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-24	dail	33	Post-European Council Meeting: Statements	dbsect_16	We hear many people saying to leave politics out of sport. However, sport is increasingly being weaponised by oppressive regimes to win positive media coverage. It is called sportswashing. In the words of Nelson Mandela, sport has the power to change the world and the power to inspire. When you see the Dublin women's Gaelic football team and their brave and inspiring call for a ceasefire in Gaza, you realise how true Mandela's words are. Israel is targeting Palestinian athletes, their sports clubs and their facilities. Yarmouk Stadium in Gaza has been turned into a detention centre for men and boys, who are daily stripped, beaten and terrorized. It is painfully clear that Israel has breached the Olympic Charter on sport on several occasions and it continues to do so. The European Council, with the support of Ireland, called on the Olympic committee to ban Russian athletes from the Olympic Games. The Council was decisive in its approach to Russian brutality. Now in the Gaza Strip, there are more than 25,000 dead, mainly innocent civilians. We need Ireland to urge the European Council to call for a ban on Israeli athletes from participating in the Olympics. We must call for Sport Ireland, the Olympic Federation of Ireland, FIFA and all the relevant sporting bodies to call for an international investigation into Israel's violation of the Olympic Charter and impose sanctions. Ban Israel from international sports. Mandela said the Irish Dunnes Stores strikers demonstrated to South Africans that ordinary people far from the crucible of apartheid cared for our freedom. In 2024, it is ordinary people in Irish sport who must show they care. Irish Sport for Palestine has called on Basketball Ireland not to play the women's basketball game against Israel on 8 February in Riga. I concur with this call.	spk_164
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-23	dail	33	Housing and Homeless Prevention: Motion (Resumed) [Private Members]	dbsect_12	Housing remains the number one issue for ordinary people. Prospective home buyers are being picked off by the vulture funds, and this Government's failures in housing have only increased the concerns of local communities. People who have grown up in their community want the opportunity to continue to live in there, near their support structures but without affordable housing, communities will continue to be pulled apart. The Irish Glass Bottle site gave hope to so many in Ringsend and Irishtown. It gave them the hope that they would finally be able to buy affordable homes in their community, as promised. However, with each passing month, concerns about affordability grow. The Irish Glass Bottle site will have 950 homes on it, a mix of social and affordable homes. However, it is hard to see how the how the so-called affordable homes on the site will actually be affordable. The well-informed speculation is that the homes on the site will come in at between €600,000 and €700,000 each. Even with the Government subvention, that will not be affordable for ordinary families. The only people that will be able to afford the homes on the site are vulture funds and the extremely wealthy. I ask the Minister to give an assurance to the community that vulture funds will not be allowed to buy up all of the homes on the Irish Glass Bottle site. The Government needs to put the construction of the new Dodder bridge on hold until these apartments are made affordable. If that is what it takes to make them affordable then it must be done. There is still no affordable housing scheme in place. The community has waited far too long for these new homes. The residents of Seán Moore Road are enduring construction noise from 7 a.m. each day, and the construction works are so extensive that they are concerned for the structure of their own homes. I ask the Minister to meet the developer to get answers for the local community.	spk_304
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-23	dail	33	Housing and Homeless Prevention: Motion (Resumed) [Private Members]	dbsect_12	I also ask him to meet with the residents who live beside the Irish Glass Bottle site.	spk_306
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	Defective Building Materials	dbsect_36	I am going to need a defibrillator first.	spk_351
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	Defective Building Materials	dbsect_36	I am sorry about that. I understood it was later on.	spk_353
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	Defective Building Materials	dbsect_36	Too efficient. I appreciate that. I did not hear my colleague's contribution, but the Enable Ireland Sandymount School has 40 students. Each one is medically dependent. There is a lovely, warm, caring atmosphere in the school. The staff go above and beyond for the current students. For five of the children, their class is closed because there are serious leaks in one of the rooms in the middle of the hall. This means the school has had to move the class to the library. This is of course far from ideal. The five students are all in wheelchairs and the classroom they normally use is a soft play room, which allows the children to get out of their wheelchairs, stretch and reset themselves. The students need the breaks from the wheelchairs as they are really important for them and, as I said, the students are very vulnerable. The breaks out of the wheelchairs cannot take place in the library. This also means the library itself has been decommissioned and is not accessible to the rest of the school, which is again far from ideal. The school hall is also closed due to leaks, which have been getting increasingly bad over the last six months. The Department is aware of the conditions and the conditions are dire for the students and school staff. The principal and staff go above and beyond day in and day out.There was an issue with school transport at the start of the year which caused huge distress for everyone. Now we have these particular issues and they need to be resolved as a matter of urgency.	spk_357
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	Defective Building Materials	dbsect_36	I appreciate the response but this must be resolved as a matter of urgency. Children have been displaced into other rooms and the library has been closed off completely. This is a huge hindrance to the entire school and all of the students. It affects everybody in the school. The Minister of State said the Department has advised the school to carry out a dry test but nobody going into that school needs to carry out a dry test. There are serious leaks in the building, the rooms are clearly leaking and it is obvious where the leaks are coming from. It is clear what is causing the problem and it needs to be fixed as a matter of urgency. The students in this school are particularly vulnerable and they need this space, including the soft play areas. It is unacceptable that the children in Enable Ireland Sandymount School have been left high and dry. It is clear what the issues are and the Department needs to just get on and do it.	spk_361
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	School Facilities	dbsect_37	I am going to need a defibrillator first.	spk_351
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	School Facilities	dbsect_37	I am sorry about that. I understood it was later on.	spk_353
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	School Facilities	dbsect_37	Too efficient. I appreciate that. I did not hear my colleague's contribution, but the Enable Ireland Sandymount School has 40 students. Each one is medically dependent. There is a lovely, warm, caring atmosphere in the school. The staff go above and beyond for the current students. For five of the children, their class is closed because there are serious leaks in one of the rooms in the middle of the hall. This means the school has had to move the class to the library. This is of course far from ideal. The five students are all in wheelchairs and the classroom they normally use is a soft play room, which allows the children to get out of their wheelchairs, stretch and reset themselves. The students need the breaks from the wheelchairs as they are really important for them and, as I said, the students are very vulnerable. The breaks out of the wheelchairs cannot take place in the library. This also means the library itself has been decommissioned and is not accessible to the rest of the school, which is again far from ideal. The school hall is also closed due to leaks, which have been getting increasingly bad over the last six months. The Department is aware of the conditions and the conditions are dire for the students and school staff. The principal and staff go above and beyond day in and day out.There was an issue with school transport at the start of the year which caused huge distress for everyone. Now we have these particular issues and they need to be resolved as a matter of urgency.	spk_357
Chris Andrews	48	Unknown	Dublin Bay South	#ChrisAndrews	2024-01-18	dail	33	School Facilities	dbsect_37	I appreciate the response but this must be resolved as a matter of urgency. Children have been displaced into other rooms and the library has been closed off completely. This is a huge hindrance to the entire school and all of the students. It affects everybody in the school. The Minister of State said the Department has advised the school to carry out a dry test but nobody going into that school needs to carry out a dry test. There are serious leaks in the building, the rooms are clearly leaking and it is obvious where the leaks are coming from. It is clear what is causing the problem and it needs to be fixed as a matter of urgency. The students in this school are particularly vulnerable and they need this space, including the soft play areas. It is unacceptable that the children in Enable Ireland Sandymount School have been left high and dry. It is clear what the issues are and the Department needs to just get on and do it.	spk_361
