name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-21	dail	33	Healthcare Provision in Rural Communities: Motion [Private Members]	dbsect_8	I also begin by adding my condolences to those of others to Deputy Michael Collins on the loss of his nephew. I thank Members of the House for their contributions to this discussion on general practice in rural communities and for their interest in and commitment to the issue. I acknowledge the issues various Members raised, such as the delays patients are facing in getting appointments with GPs and some GP practices not currently accepting new patients. The Government has substantially increased investment in general practice in recent years in an effort to increase GP capacity. Expenditure on fees and other supports paid to GPs has increased by 41% since 2019, with expenditure in 2023 expected to exceed €800 million. These fees and supports include a 10% increase to rural practice supports, improved GP maternity and paternity leave, and enhanced capitation rates. It also includes increases in payments for the provision of contraception services under the GMS, €2 million to support GP out-of-hours services, and a further €30 million in additional capacity supports to assist GPs in retaining staff and recruiting additional staff to meet patient demand. These measures are making general practice an attractive option for medical graduates, as can be seen in the record levels of applications to enter GP training in 2024 and the decreasing number of GP training graduates who now intend to emigrate. It is acknowledged, however, that the provision of GP services in some rural areas is more challenging than in others. The pattern of work in general practice is changing and there can be financial uncertainty in setting up a practice in a rural area as the size of the GMS panel available may be smaller. GPs increasingly favour a multiple-GP team model, with some GPs developing sub-specialisations such as in chronic disease management or women's health. While the overall anticipated increase in GP numbers is expected to help to address the challenges of service delivery overall, including in rural areas, it is accepted that some difficult to serve areas require additional supports to ensure access to general practice services in the community. To address this, the 2023 GP agreement included specific supports for rural practices. In addition to the 10% increase in rural practice supports, a ring-fenced fund of €600,000 is being made available to support the delivery of an initiative to support rural GPs to source locum cover for approved leave periods. The HSE is currently exploring how to implement this solution. The HSE is also in the process of implementing a programme to improve the sustainability of GP services in rural areas by working with a larger practice in a nearby town to take on a smaller practice as a satellite entity. It is hoped that, if successful, the programme could be rolled out elsewhere and help to ensure the ongoing provision of services in rural communities. These are examples of creative solutions which will make rural general practice more attractive to GPs. Increasing GP training places will increase GP capacity in the medium to long term, and the number of GPs entering training has more than doubled, from 120 in 2009 to 286 in 2023, with a further increase to 350 places planned for this year.While there may be some concern that the planned retirements of some GPs will result in GP capacity issues, the replacement rate for retiring GPs is very encouraging for the future of general practice. Due to the increased number of GP training places over the past several years, it is estimated that for every two GPs who currently retire, we now have three to six new GPs entering general practice. As regards more immediate measures to address rural GP capacity, the non-EU rural GP programme is already placing GPs in rural practices across the country with 121 non-EU GPs recruited by the end of January 2024, of which 84 were already in place in GP practices. The Government has provided funding to bring up to 250 more non-EU GPs to Ireland by the end of this year. The strategic review of general practice is under way and will identify the arrangements necessary to improve the current system of GP care as part of a primary care-focused health service and in line with the programme for Government and the Sláintecare vision of access. There has been considerable additional investment in oral healthcare services in recent years, including an expansion in 2022 of the care available under the dental treatment services scheme for adult medical card holders and substantial increases in fees paid to dentists. Sustained investment in recent years has reduced the number of children waiting to access public orthodontic care. The Government is committed to fundamentally reforming dental services. The HSE has appointed a strategic reform lead, who is driving service reform for adults and children in line with policy. The Government is committed to delivering the enhanced community care programme, which is designed to deliver the reorientation of service delivery towards general practice and community-based services, thereby providing health services closer to people's homes - the right care in the right place at the right time. Therefore, I support the Government's amendment to this motion, which agrees that the Government is committed to fundamentally reforming dental services, that increased investment is making general practice in urban and rural areas a more attractive career for medical graduates and that the initiatives taken by the Government to increase the number of training places and recruit non-EU GPs will result in an increase in the number of GPs providing services in urban and rural areas, in an increase in the ratio of GPs to population and in improved services for patients.	spk_49
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-20	dail	33	An tOrd Gnó - Order of Business	dbsect_4	I move:Tuesday's business shall be:- Motion re Proposed approval by Dáil Éireann of meeting of the Joint Committee on the Irish Language, Gaeltacht and the Irish-speaking Community in Galway city (without debate)- Statements on the Second Anniversary of Russia’s Full-scale Invasion of Ukraine (not to exceed 1 hr 52 mins)Tuesday's private members' business shall be the Motion re Paediatric Orthopaedic and Urology Services, selected by Sinn Féin.Wednesday's business shall be:- Motion re Consideration of Estimates by Committee (without debate)- Motions re Proposed approval by Dáil Éireann of the Civil Law (Miscellaneous Provisions) Act 2022 (Section 4(2)) (Scheme Termination Date) Order 2024 (to conclude within 57 mins)- Health (Miscellaneous Provisions) Bill 2024 (Second Stage) (if not previously concluded, to adjourn either at 5.30 p.m. or after 1 hr 46 mins, whichever is the later)- Human Tissue (Transplantation, Post-Mortem, Anatomical Examination and Public Display) Bill 2022 (Amendments from the Seanad) (to commence no earlier than 5 p.m. and if not previously concluded, to adjourn after 2 hrs)- Court Proceedings (Delays) Bill 2023 (Report and Final Stages) (if not previously concluded, to adjourn either at 8.30 p.m. or after 1 hr, whichever is the later)Wednesday's private members' business shall be the Motion re Healthcare Provision in Rural Communities, selected by the Rural Independent Group.Thursday's business shall be the Health (Miscellaneous Provisions) Bill 2024 (Second Stage, resumed, if not previously concluded) (if not previously concluded, to adjourn either at 4 p.m. or after 2 hrs 16 mins, whichever is the later).Thursday evening business shall be the Second Stage of the Broadcasting (Amendment) Bill 2023.In relation to Tuesday’s business, it is proposed that:1. the ordinary routine of business as contained in Schedule 3 to Standing Orders shall be modified to the extent that private members’ business may be taken earlier than 6.12 p.m. and shall in any event be taken on the conclusion of the Statements on the Second Anniversary of Russia’s Full-scale Invasion of Ukraine, with consequential effect on—(i) the commencement times for the items following in the ordinary routine of business, namely, oral Parliamentary Questions to the Minister for Social Protection, and topical issues, and(ii) the time for the adjournment of the Dáil; the proceedings on the Motion re Proposed approval by Dáil Éireann of meeting of the Joint Committee on the Irish Language, Gaeltacht and the Irish-speaking Community in Galway city shall be taken without debate; and2. the Statements on the Second Anniversary of Russia’s Full-scale Invasion of Ukraine shall not exceed 1 hour and 52 minutes and the following arrangements shall apply thereto:(i) the arrangements for the statements, not including the Ministerial response, shall be in accordance with the arrangements agreed by Order of the Dáil of 30th July, 2020, for 100 minutes, and the Resolution of the Dáil of 20th September, 2023, providing for two minutes for non-aligned members;(ii) following the statements, a Minister or Minister of State shall be called upon to make a statement in reply which shall not exceed 10 minutes; and(iii) members may share time.In relation to Wednesday's business, it is proposed that:1. the ordinary routine of business as contained in Schedule 3 to Standing Orders shall be modified to the extent that the weekly division time may be taken earlier than 8.45 p.m., and shall in any event be taken on the adjournment of proceedings on the Courts Proceedings (Delays) Bill 2023, or where those proceedings conclude within the allotted time, on the conclusion thereof, with consequential effect on the time for the adjournment of the Dáil;2. the proceedings on the Motion re Consideration of Estimates by Committee shall be taken without debate;3. the proceedings on the Motion re Proposed approval by Dáil Éireann of the Civil Law (Miscellaneous Provisions) Act 2022 (Section 4(2)) (Scheme Termination Date) Order 2024 shall, if not previously concluded, be brought to a conclusion after 57 minutes, and the following arrangements shall apply thereto:(i) the order of speaking and allocation of time shall be as follows:-- opening speech by a Minister or Minister of State - 10 minutes;- speech by representative of Sinn Féin - 10 minutes;- speeches by representatives of the Labour Party, Social Democrats, People-Before-Profit-Solidarity, the Regional Group, the Rural Independent Group and the Independent Group - 5 minutes per party or group;- speeches by non-aligned members – 2 minutes; and- a speech in response by the Minister – 5 minutes; and (ii) members may share time;4. the proceedings on Second Stage of the Health (Miscellaneous Provisions) Bill 2024 shall, if not previously concluded, be interrupted and stand adjourned either at 5.30 p.m. or after 1 hour and 46 minutes, whichever is the later, and shall not be resumed on Wednesday;5. the proceedings on the amendments from the Seanad to the Human Tissue (Transplantation, Post-Mortem, Anatomical Examination and Public Display) Bill 2022 shall commence no earlier than 5 p.m. and shall, if not previously concluded, be interrupted and stand adjourned after 2 hours, and shall not be resumed on Wednesday; and6. the proceedings on Report and Final Stages of the Court Proceedings (Delays) Bill 2023 shall, if not previously concluded, be interrupted and stand adjourned either at 8.30 p.m. or after 1 hour, whichever is the later, and shall not be resumed on Wednesday.In relation to Thursday's business, it is proposed that:1. the ordinary routine of business as contained in Schedule 3 to Standing Orders shall be modified to the extent that topical issues may be taken earlier than 7.24 p.m. and shall in any event be taken on the interruption or conclusion of any resumed proceedings on the Health (Miscellaneous Provisions) Bill 2024, or where Second Stage of that Bill concludes before Thursday, immediately following the SOS, with consequential effect on the commencement time for the Broadcasting (Amendment) Bill 2023, and on the time for the adjournment of the Dáil; and2. any resumed proceedings on Second Stage of the Health (Miscellaneous Provisions) Bill 2024 shall, if not previously concluded, be interrupted and stand adjourned either at 4 p.m. or after 2 hours and 16 minutes, whichever is the later, and the Bill shall not be resumed on Thursday.	spk_29
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-20	dail	33	Joint Committee on the Irish Language, Gaeltacht and the Irish-speaking Community: Motion	dbsect_5	I move:That Dáil Éireann, in accordance with Article 15.1.3° of the Constitution, hereby determines that the Joint Committee on the Irish Language, Gaeltacht and the Irish-Speaking Community may meet in Galway city, on 8th March, 2024, in order to hear from community groups and populations in Galway city, first hand, on the operation of national and local policies as they affect the community in Galway city: provided that, pursuant to Standing Order 106(4), Members may participate in such meeting from within the parliamentary precincts by means of the videoconferencing platform approved and provided by the Houses of the Oireachtas Commission.	spk_110
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-14	dail	33	Ministerial Rota for Parliamentary Questions: Motion	dbsect_13	I move:That, notwithstanding anything in the Order of the Dáil of 29th March, 2023, setting out the rota in which Questions to members of the Government are to be asked, Questions for oral answer, following those set down to the Minister for Agriculture, Food and the Marine shall be set down to Ministers in the following temporary sequence:Minister for Further and Higher Education, Research, Innovation and Science Minister for HealthMinister for Children, Equality, Disability, Integration and Youth whereupon the sequence established by the Order of 29th March, 2023, shall continue with Questions to the Minister for Rural and Community Development.	spk_148
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-13	dail	33	An tOrd Gnó - Order of Business	dbsect_3	"I move:Tuesday's business shall be:- Motion re Report of the Joint Committee on Finance, Public Expenditure and Reform, and Taoiseach under Dáil Standing Order 133 on a Proposal for a Council Directive on Business in Europe: Framework for Income Taxation (BEFIT), COM(2023)532 (without debate)- Road Traffic Bill 2024 (Second Stage) (if not previously concluded, to adjourn either at 6.30 p.m. or after 2 hrs 41 mins, whichever is the later)Tuesday's private members' business shall be the Motion re Reform of the Television Licence Fee Model, selected by Sinn Féin.Wednesday's business shall be:- Revised Estimates for Public Services 2024 [Votes 7 to 15, 17 to 22, 24 to 28, 30 to 33 and 35 to 45] (back from Committee) (without debate)- Motion re Ministerial Rota for Parliamentary Questions (without debate)- Motions (3) re Proposed approval by Dáil Éireann of the proposals for recommendations for Council Decisions authorising the opening of negotiations for agreements between the European Union and Iceland, the Kingdom of Norway and the Swiss Confederation on the transfer of Passenger Name Record data (to be moved separately but debated together, and to conclude within 57 minutes)- Statements on recent developments in Northern Ireland (not to exceed 3 hrs 32 mins)- Road Traffic Bill 2024 (Second Stage, resumed, if not previously concluded) (if not previously concluded, to adjourn either at 8.30 p.m. or after 1 hr 16 mins, whichever is the later)- Coroners (Amendment) Bill 2024 [Seanad] (Committee and remaining Stages) (to commence no earlier than 7.30 p.m. and if not previously concluded, to adjourn either at 10.30 p.m. or after 2 hrs, whichever is the later)Wednesday's private members' business shall be the Motion re Business Costs for Micro, Small and Medium Enterprises, selected by the Regional Group.Thursday's business shall be Statements and Q&A on Sustainable Fisheries Sector and Coastal Communities (not to exceed 1 hr 47 mins).Thursday evening business shall be the Second Stage of the Commissions of Investigation (Amendment) Bill 2023.Proposed Arrangements for this week’s business:In relation to Tuesday’s business, it is proposed that:1. the ordinary routine of business as contained in Schedule 3 to Standing Orders shall be modified to the following extent:(i)	the Dáil may sit later than 10.32 p.m.; and(ii)	the time allotted to Government business shall be extended in accordance with the arrangements for the Road Traffic Bill 2024, with consequential effect on the commencement times for the items following in the ordinary routine of business, namely, private members’ business, Parliamentary Questions to the Minister for Education, and topical issues; 2. the proceedings on the Motion re Report of the Joint Committee on Finance, Public Expenditure and Reform, and Taoiseach under Dáil Standing Order 133 on a Proposal for a Council Directive on Business in Europe: Framework for Income Taxation (BEFIT), COM(2023)532 shall be taken without debate; and3. the proceedings on Second Stage of the Road Traffic Bill 2024 shall, if not previously concluded, be interrupted and stand adjourned either at 6.30 p.m. or after 2 hours and 41 minutes, whichever is the later, and shall not be resumed on Tuesday.In relation to Wednesday's business, it is proposed that:1. the ordinary routine of business as contained in Schedule 3 to Standing Orders shall be modified to the extent that the Dáil may sit later than 9.30 p.m. and the weekly division time may be taken later than 8.45 p.m. and shall in any event be taken on the adjournment of proceedings on the Coroners (Amendment) Bill 2024 [Seanad], or where those proceedings conclude within the allotted time, on the conclusion thereof;2. the Motions for Revised Estimates for Public Services 2023 [Votes 7 to 15, 17 to 22, 24 to 28, 30 to 33 and 35 to 45] shall be moved together and decided without debate by one question which shall be put from the Chair;3. the proceedings on the Motion re Ministerial Rota for Parliamentary Questions shall be taken without debate;4. the Motions re Proposed approval by Dáil Éireann of the proposals for recommendations for Council Decisions authorising the opening of negotiations for agreements between the European Union and Iceland, the Kingdom of Norway and the Swiss Confederation on the transfer of Passenger Name Record data shall be debated together and the proceedings thereon shall, if not previously concluded, be brought to a conclusion after 57 minutes, and the following arrangements shall apply thereto:(i) the order of speaking and allocation of time shall be as follows:-- opening speech by a Minister or Minister of State - 10 minutes;- speech by representative of Sinn Féin - 10 minutes;- speeches by representatives of the Labour Party, Social Democrats, People-Before-Profit-Solidarity, the Regional Group, the Rural Independent Group and the Independent Group - 5 minutes per party or group;- speeches by non-aligned members – 2 minutes; and- a speech in response by the Minister – 5 minutes; and(ii) members may share time;5. the Statements on recent developments in Northern Ireland shall not exceed 3 hours and 32 minutes and the following arrangements shall apply thereto:(i) the arrangements for the statements, not including the Ministerial response, shall be in accordance with the arrangements agreed by Order of the Dáil of 30th July, 2020, for 200 minutes, and the Resolution of the Dáil of 20th September, 2023, providing for two minutes for non-aligned members;(ii) following the statements, a Minister or Minister of State shall be called upon to make a statement in reply which shall not exceed 10 minutes; and(iii) members may share time;6. any resumed proceedings on Second Stage of the Road Traffic Bill 2024 shall, if not previously concluded, be interrupted and stand adjourned either at 8.30 p.m. or after 1 hour and 16 minutes, whichever is the later, and the Bill shall not be resumed on Wednesday; and7. the proceedings on Committee and remaining Stages of the Coroners (Amendment) Bill 2024 [Seanad] shall commence no earlier than 7.30 p.m. and shall, if not previously concluded, be interrupted and stand adjourned either at 10.30 p.m. or after 2 hours, whichever is the later, and shall not be resumed on Wednesday.In relation to Thursday's business, it is proposed that:1. the ordinary routine of business as contained in Schedule 3 to Standing Orders shall be modified to the extent that topical issues may be taken earlier than 7.24 p.m. and shall in any event be taken on the conclusion of proceedings on Statements and Q&A on Sustainable Fisheries Sector and Coastal Communities, and the Second Stage of the Commissions of Investigation (Amendment) Bill 2023 shall be taken on the conclusion of topical issues, with consequential effect on the time for the adjournment of the Dáil; and2. the Statements and Q&A on Sustainable Fisheries Sector and Coastal Communities shall not exceed 1 hour 47 minutes, and the following arrangements shall apply thereto:(i) the order of speaking and allocation of time shall be as follows:-- opening statement by a Minister or Minister of State - 10 minutes;- time for member of a Government party – 15 minutes;- time for representative of Sinn Féin - 15 minutes;- time for representatives of the Labour Party, Social Democrats, People-Before-Profit-Solidarity, the Regional Group, the Rural Independent Group and the Independent Group - 10 minutes per party or group;- time for non-aligned members – 2 minutes; and- a statement in response by the Minister – 5 minutes;(ii) members may use their time for a combination of statements and questions and answers, or questions and answers only; and(iii) members may share time."	spk_36
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-13	dail	33	Protection of Employees (Trade Union Subscriptions) 2024: First Stage	dbsect_8	No.	spk_100
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-07	dail	33	Gnó na Dála - Business of Dáil	dbsect_2	I move:That, notwithstanding anything in Standing Orders -- expressions of sympathy on the death of former Taoiseach, Mr. John Bruton, shall be taken now and on the conclusion of expressions of sympathy, the Dáil shall adjourn until 9 a.m. tomorrow;- the Government business to be taken tomorrow shall be Second Stage of the Financial Services and Pensions Ombudsman (Amendment) Bill 2023 and Second Stage of the Coroners (Amendment) Bill 2024, and the following arrangements shall apply thereto:- if not previously concluded, the proceedings on the Financial Services and Pensions Ombudsman (Amendment) Bill 2023 shall be interrupted and stand adjourned either at 5.30 p.m. or after 3 hours and 46 minutes, whichever is the later; and- if not previously concluded, the proceedings on Second Stage of Coroners (Amendment) Bill 2024 shall be interrupted and stand adjourned either at 8.30 p.m. or after 3 hours, whichever is the later; and- no Private Members' business or Thursday evening business shall be taken tomorrow, and the Dáil shall adjourn on the conclusion of Topical Issues.	spk_1
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-02-07	dail	33	Death of Former Taoiseach: Expressions of Sympathy	dbsect_3	I add my own on tribute to that of our former Taoiseach and party leader and to the deserved praise already given by my colleagues in the House today. I first of all extend my sympathies to John’s wife, Finola, his son, Matthew, and his daughters, Juliana, Emily and Mary-Elizabeth. I note in particular the presence on the benches today of his brother, Richard, someone who is held in such high esteem by our party. I extend to you, Richard, your sister and the rest of the family my sincere sympathies. While many words will have been written about John Bruton’s positive legacy, I want to particularly note comments made by the former British Prime Minister, Sir John Major, when he appeared before the Joint Committee on the Implementation of the Good Friday Agreement in January of last year. During the course of Sir John Major’s presentation, he noted his extraordinary luck in having John Bruton as his counterpart in bringing forward the framework agreement in 1995. It was a vital document, as already stated by the Minister, Deputy Coveney, in which both Governments set themselves the aim of fostering agreement and reconciliation, leading to a new political framework founded on consent. This was, of course, the precursor to the Good Friday Agreement. It dealt with, among other issues, North-South institutions and a framework for accountable government in Northern Ireland, including an assembly. It is somewhat timely to remind ourselves of that, given the recent restoration of the assembly in Northern Ireland. I do not have time to list all of John Bruton’s work in advancing the peace process, work that has often been overlooked but should not be. He was a catalyst for change and an advocate for peace and for non-violence. In recent days, I have seen the hugely positive influence he has had on our shared island being recognised, and I hope that continues. Whatever else his achievements, and there were many, John Bruton helped to bring peace to this island. Not many can say that, and it is a legacy to be proud of.	spk_26
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-01-31	dail	33	Misuse of Drugs (Cannabis Regulation) Bill 2022: Second Stage [Private Members]	dbsect_8	"I move amendment No. 1:To delete all words after ""That"" and substitute the following: ""Dáil Éireann resolves that the Misuse of Drugs (Cannabis Regulation) Bill 2022 be deemed to be read a second time this day nine months, so as to allow sufficient time for the report of the Citizens’ Assembly on Drugs to be considered by the Oireachtas."".I welcome the opportunity to update the Oireachtas with regard to drug policy and to highlight the progress made on implementing the national drugs strategy, Reducing Harm, Supporting Recovery. As we are all aware, the misuse of illicit drugs affects every part of society, whether urban or rural, disadvantaged or affluent.The misuse of drugs has devastating consequences for not only the individual grappling with addiction, but also for their families and the communities in which they live.  We are all aware of the consequences: poor health and mental health outcomes for people in addiction, families torn apart, profiteering by unscrupulous gangs from the misery of others and drug-related intimidation in communities. I appreciate there are many challenges, but as Minister of State with responsibility for the national drugs strategy, I am committed to building on the progress already made. I have long held the view that we as a society have needed to have an open and honest conversation about drugs. Ensuring that the voices of those with lived experience and the voices of young people are heard is key to putting in place an appropriate response.  As the House is aware, last year the Government established the citizens' assembly to consider and make recommendations on the legislative, policy and operation changes the State could make to significantly reduce the harmful impact of illicit drugs on individuals, their families, communities and wider society. The report of the citizens' assembly was published last week and makes 36 recommendations, including that the State introduces a comprehensive health-led response to drugs. This is a landmark report to assist in the further development of policy on drug use in Ireland. Choosing to have a citizens’ assembly on drug use demonstrates the seriousness and gravity that the Government gives to this issue and its awareness of the impact of drugs on all corners and sections of society. It also began the open and honest conversation that has been so badly needed and which will continue now in the Oireachtas special committee. There is an onus now on the Government to consider the deliberations of the citizens' assembly in order that it can enhance the response to drug use from a policy, legislative and service delivery perspective. I am committed to leading on this response. I will actively engage with Government colleagues and Oireachtas Members on the response to this report. But as we can see from the assembly’s report, drug misuse is a complex issue. There are no easy or straightforward solutions. Clearly, we need more services to be provided and greater efforts must be made to prevent the use of drugs. That is why, in 2024, I am providing an additional €6 million for drug services to implement the national drugs strategy. This brings the total new spend on drug services to €11.75 million since 2023. I also last year launched the first national drug prevention and education programme, which will fund five demonstration projects in school, community and nighttime social settings. People grappling with addiction face different challenges. Some may have the support of family, others may not. Some may be in employment while others struggle to secure a job because of the nature of their illness. Access to education can also be an issue. The nature of addiction is different for each affected person. For example, there are people who not only have an addiction to drugs but who also struggle with their mental health. I have secured funding this year to help these people with a dual diagnosis, with a particular focus on younger people. While I have secured additional funding to provide more treatment episodes for those in need, we know there are gaps in service provision. That is why I have asked that an audit of services be completed in order that we can ensure services are available where they are most needed. Just because someone has received treatment does not mean they are in a position to lead a happy and productive life. That is why we are investing for the first time in recovery. The Government is committed to taking a health-led approach to the use of illicit drugs in line with the recommendations set out by the citizens’ assembly report. Nothing is served by jailing a person in addiction caught with drugs for personal use. That is why I am committed to introducing the health diversion programme, which will connect people suffering from problematic drug use with the health services they need and will provide a pathway to treatment and recovery. Harm reduction is a key component of the health-led approach to drug use. That is why people can submit drugs at festivals for testing as part of a range of harm reduction initiatives under the safer nightlife programme, thereby helping people to avoid particularly risky drugs. That is why a medically supervised injecting facility will open this year to provide a safe space for people to inject drugs. It is why the building and operation of the new 100-bed medical and addiction facility developed by the Dublin Simon Community is being funded by the Government. I thank Deputy Kenny for bringing forward the Private Members' Bill. I note that the Bill proposes to amend the Misuse of Drugs Act to enable a person who is at least 18 years of age to have possession for the person’s personal use of either or both cannabis and cannabis resin that in each case does not exceed a specified amount and to provide for related matters. It is important that this proposal should be considered in the context of recommendation No. 17 from the citizens’ assembly, which is that the State introduces a comprehensive health-led response to drugs. This recommendation assumes that possession of controlled drugs would remain illegal, while those found in possession of drugs for personal use could be afforded extensive opportunities to engage with health-led services. Depending on how the legislation is designed, this approach would minimise or potentially completely remove the possibility of criminal conviction and prison sentences for simple possession. The citizens’ assembly advises that there are several open questions about how Ireland might best legislate for a health-led model combining diversion, decriminalisation and dissuasion. Given the important legal and constitutional issues to be considered, it is the responsibility of the Oireachtas, informed by legal advice and detailed pre-legislative scrutiny, to determine the most appropriate legal mechanisms to achieve this goal. The recommendations of the citizens’ assembly will now be considered by the Oireachtas. It is anticipated that an Oireachtas special committee will be established to consider these recommendations and to agree on the most appropriate next steps. In this context, debating the Bill at this stage could undermine the work of an Oireachtas special committee. In light of the above, it is the Government’s view that this Bill is premature and should be deferred for a period of nine months. I thank the Leas-Cheann Comhairle."	spk_23
Hildegarde Naughton	53	Unknown	Galway West	#HildegardeNaughton	2024-01-31	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_11	The Minister of State, Deputy Mary Butler, and the Department of Health are engaging with priority in regard to the publication of the mental health Bill in the next term. It is on the priority drafting list at the moment. It is a very complex area. The Deputy can have my assurances, as Chief Whip, that we will be doing everything to get it drafted in this session and then published in the following Dáil session.	spk_132
