name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-22	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_31	"There was more grim news this week for the thousands of people desperate to find a secure and affordable home. House prices are now higher than the Celtic tiger peak yet the Government's building targets remain too low. It is four months since the Taoiseach admitted to me in Leaders’ Questions that more ambition would be needed. Instead of Housing for All, it seems we are still stuck with housing just for some. Those struggling to find an affordable home to rent must continue to compete with short-term tourist lettings. It is five years since the Oireachtas first debated a Labour Bill to regulate Airbnb-style lets. Now we understand that the European Commission is still delaying a decision on the Government's proposal to do just that. The Government needs to remind the Commission how dire the housing crisis is here and let it know of the urgency. We cannot afford to wait any longer for EU proposals. For years, we have called for stronger regulation of short-term letting. We know how many homes these platforms take out of use because, during the pandemic, suddenly they all became available. That situation has now been allowed to worsen again. ""Building back better"" post Covid has made its way out of the lexicon. Instead, prospective buyers and renters are being victimised by a profit-driven market, and  Renters in Ireland are still at the whim of landlords. There has been no tangible strengthening of renters' rights since the general election. No-fault evictions are still taking place, even though we in Labour proposed a Bill to stop them. While inspections in the private rented sector have gone up since the pandemic, enforcement is practically non-existent in many areas. Not a single prohibition notice was issued in ten local authority areas last year. Homelessness figures will be out tomorrow, and no one is under any illusion that there will be good news this month. Every day, across the country, tenants live in fear of the dreaded call to tell them they will be losing their home. It is a Wild West for renters out there. Just ask any of the tenants of Marc Godart. I give credit to  The latest documents revealed by "	spk_189
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-22	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_31	I thank the Tánaiste for his comments. I commend Naomi O'Leary. Her article makes for chilling reading. Undoubtedly, there are issues with the arbitrary deductions from workers wages and workplace practices. To return to the issue of Godart's treatment of his tenants, what is the Government going to do to ensure unscrupulous landlords like Godart will be made accountable and that there would be some comeback? Clearly, neither local authorities nor the Residential Tenancies Board currently have the power or capacity to regulate the undoubtedly small number of egregious abuses in the rental sector. Will the Tánaiste bolster the RTB to crack down on those who are exploiting tenants? Clearly, they are not representative of the vast majority of landlords, but right now, the RTB investigations and sanctions unit can only levy fines of up to €15,000. That is not enough to deal people like Godart. In the nineties, we saw how the Labour Party Minister for Finance, Ruairí Quinn, created the Criminal Assets Bureau to go after the assets of criminals, seizing property and going after ill-gotten cash. We now need an enforcement mechanism within the RTB with real powers to go after the small number of unscrupulous landlords who are making life a misery for far too many. Reading Naomi O'Leary's piece, all of us will recall that these are practices from 19th century Land League times. This was why the Land League was set up, calling for fair rent, fixity of tenure and decent conditions for renters. We are seeing some appalling conditions still prevailing for renters in Dublin and across the country today.	spk_191
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-22	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_32	So far in 2024, more than 30 people have died on our roads, each death an utter human tragedy and devastating for families and friends. Roughly one life has been lost every other day since the new year. This is a shocking figure. We see that fewer than 5% of people told to hand over their learner permit following conviction for a road traffic offence comply with the law. Will the Government take on a stronger role in ensuring road safety measures are put in place? Will it act also on the safety of transport workers? This week, SIPTU revealed that a staggering 80% of transport workers had reported having suffered abuse at work. Last year, I sought plans from the Ministers for Transport and Justice to ensure measures on road safety would be put in place and to ensure safety for transport workers, but I heard then that no specific data was collected on assaults on transport workers and that safety measures were matters for individual operators, not for the Government. Can we see a change in policy for transport workers' safety, and particularly for road safety for all of us?	spk_215
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-21	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	Gabhaim buíochas leis an gCeann Comhairle. Upon taking office in December 2022, the Taoiseach's stated aim was to make Ireland the best country in which to be a child and to improve well-being and opportunity for children. However, there are many children in Ireland today who are being failed by the State. I am talking about children who are denied care in our health system, who are waiting for surgery, who are lost in mental health services or who are not receiving the care and support they so badly need. No parent wants to make public the private pain of their son or daughter, but we are seeing so many who are utterly desperate. Some parents have even been driven to posting videos on social media of their young children sobbing with pain through the night in a desperate effort to secure appropriate healthcare. Those videos are harrowing. It is even more harrowing to meet the parents and the children and hear their stories. As we know, in 2017, the then Minister for Health, Deputy Harris, made a commitment that no child would be made to wait more than four months for surgery. Yet, children are still waiting longer for spina bifida or scoliosis surgery than was the case when the Government took office. As my colleague, Deputy Duncan Smith, said in the debate last night, 78% of children are waiting longer than Sláintecare target times for paediatric and orthopaedic inpatient appointments and 81% are waiting longer than that target for inpatient urology services. There are also the outpatient waiting lists. Let us look at the children's mental health services. Yesterday, we heard yesterday from the Children’s Rights Alliance that, for the third year in a row, the Government deserves only an E grade, an unacceptable grade, in respect of access to children's mental health services. Four years ago, the Government made a commitment to end the admission of children to adult psychiatric wards. Yet despite successive damning reports from the Mental Health Commission, children’s ombudsman, and others, the Government has apparently rowed back on that important commitment. The Department of Health has acknowledged that in some cases children with mental health problems will continue to be admitted to inappropriate wards. Last year, 50% of children were unjustifiably admitted to such wards because there were no beds available in child and adolescent mental health services, CAMHS, units. We know that almost a third of in-patient CAMHS beds were not operational in 2023 due to staff shortages. The waiting list for a first appointment for CAMHS stood at almost 4,000 in July 2023. This is a national disgrace. On so many fronts, we are seeing vulnerable children let down by State health services. It appears that the Government has quietly abandoned commitments it made on children's health. It is not good enough to say that it may take two successive Government terms to recover this. I heard that the Taoiseach saying that in a response earlier. There are things the Government can do now. The Irish Hospital Consultants Association has pointed to staff shortages as a real factor in driving unacceptable delays for services relating to children. Will the Government end the recruitment freeze and the embargo relating to certain grades in the health service. Will it move to tackle the outrageous waiting lists and address the failings in CAMHS that have been made so glaringly obvious in so many reports, including that from Children's Rights Alliance yesterday.	spk_77
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-21	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	"We are certainly ready to acknowledge progress where it has been made and we have welcomed moves by Government to review how additional funding for spinal surgery was spent by the VHI as that is important. However, I repeat that it is just not good enough for the Taoiseach to say it will take two Governments to resolve issues with children's health in Ireland. He is in government and has been for many years now and it is not good enough that we are still seeing these waiting lists. Let us look at facts. The Irish Hospital Consultants Association tells us the difficulty with filling permanent consultant posts is a root cause of what it in its words are ""unacceptably long"" child waiting lists. In August last year the association told us over 100,000 children and young people were on hospital waiting lists with 20,600 children waiting longer than a year for treatment or assessment by a hospital consultant. The latest HSE data reveals the number of unfilled permanent consultant posts has risen to a record 933 and the Irish Hospital Consultants Association says this is the highest consultant vacancy rate ever. These are the facts, just as there are facts on the admission of children to adult psychiatric units. A commitment was made by the Taoiseach's Government four years ago to end this practice yet we see 50% of those children admitted to an adult unit last year. This was done because no bed was available in a CAMHS unit. There are unacceptable waiting lists for CAMHS services. There are the facts and the Taoiseach's Government has simply not done enough to address them."	spk_79
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-21	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	"Permanent. I said ""permanent""."	spk_82
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-21	dail	33	Ceisteanna ó Cheannairí - Leaders' Questions	dbsect_9	But we need the team of medics to support the consultants.	spk_86
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-20	dail	33	An tOrd Gnó - Order of Business	dbsect_4	I also extend my sympathy and that of the Labour Party to the family and friends of Michael O’Regan and pay tribute to him. The news of his untimely death is very sad. I join the call for a debate this week on the aspect of the Children’s Rights Alliance report referred to. This is the third consecutive year in which the Government has received an E grade - an unacceptable grade - in respect of children’s mental health issues. In particular, the report highlights the waiting lists for child and adolescent mental health services, CAMHS, and the continued practice of having children kept on adult psychiatric wards. That is a failing in the context of one of the commitments contained in the programme for Government. I remind the House that this time last year the biggest news story was the report into CAMHS showing that children and young people had been lost in the mental health system. In one catchment area, 140 so-called lost cases were found within the local CAMHS team. I have the Minister for Health’s statement from January 2023 in which he told the House that the issues with CAMHS were not acceptable and that he was treating them as a priority. One year on, with another E grade from the Children’s Rights Alliance, we need time this week for a debate.	spk_32
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-20	dail	33	An tOrd Gnó - Order of Business	dbsect_4	I start by extending my deepest personal sympathy to the family of the 16-year-old girl who died three weeks ago in University Hospital Limerick. That desperately sad new was reported in the 	spk_45
Ivana Bacik	56	Unknown	Dublin Bay South	#IvanaBacik	2024-02-20	dail	33	An tOrd Gnó - Order of Business	dbsect_4	-----serious issues around patient safety and overcrowding at UHL.	spk_47
