name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-21	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_10	It is shameful.	spk_151
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-21	dail	33	Paediatric Orthopaedic and Urology Services: Motion (Resumed) [Private Members]	dbsect_26	A Cheann Comhairle, this Government amendment is completely unnecessary. This is about an approach from parents of children in pain, with scoliosis, who have been failed by this State in a shameful way. Under Standing Order 83(3)(b), I propose that the vote be taken by other than electronic means.	spk_337
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	I note that the Government had provided 15 minutes for its own Members to participate in this and nobody has taken up one single minute of those 15. That speaks volumes about the priority the Government is giving to the profound crisis in our fishing and seafood industry. Looking across our coast, I do not know to whom the Government is talking because I speak to inshore fishermen, islands fishermen, offshore fishermen, the seafood industry and the aquaculture industry and there is profound concern across the industry. A fisherman in recent days said to me that if the decommissioning scheme were made available again, he believes that even more would avail of it because they just cannot see light at the end of the tunnel and they do not see a sense of urgency in our Government at all. The Minister will know that there is serious and profound concern about the negotiations that are happening as we speak between the European Commission and Iceland. Iceland is a country with a population of 380,000 people. I think that is around the same population as that of the city of Cork. If what has been suggested goes ahead, Iceland would have almost equal access to blue whiting as our entire industry and, of course, our population is 5.2 million in this State, 7 million on the island. These are our waters. This is our exclusive economic zone. Iceland is not a member of the European Union. I do not have much time and I ask that the Minister respond as quickly as he can. When did he become aware of the discussions between the European Commission and Iceland? What was the exact date?	spk_323
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	The European Commission, when it has engaged with the Irish fishing industry, has said that there is a mandate for discussions. Did the Minister agree to that mandate?	spk_325
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	To be clear, in terms of the shape of the draft deal that has been presented to the Irish fishing industry, the Minister is very clear that he will oppose any deal between the European Commission and Iceland, as the Irish fishing industry is united in demanding.	spk_327
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	To be clear, the Minister is committing to stand by the Irish fishing industry and not agree any deal with the European Commission unless it is in agreement with it. That is the Minister's position today.	spk_329
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-15	dail	33	Sustainable Fisheries Sector and Coastal Communities: Statements, Questions and Answers	dbsect_30	I will conclude on this because I only have four minutes left. I want to talk about inshore and island fishermen and the crisis they are facing. I will lead with this and ask that the Minister look at the issue of Brexit. It is clear that the European Commission agreed a Brexit deal with the UK accepting zonal attachment rather than relative stability. In other words, the waters would benefit those who live closer to them. That is the basis to the Brexit agreement - zonal attachment. Will the Minister examine the approach of the Irish Government in terms of the entire value? Will he give an assessment of the entire value of all the fish in the Irish exclusive economic zone, which is within the 200-mile limit? I am not asking the Minister to respond to that now, but he might undertake to supply those of us in the Opposition with a full value of all the fish in the exclusive economic zone of Ireland. What is the full value? What do we get? He might then address the zonal attachment issue. I do not want him to respond now as I do not have enough time left. I want to say this on the record. Representatives from the National Inshore Fishermen's Association appeared before the Oireachtas committee recently. If the Minister has not had a chance to do so, he should please look back at their presentation or at least read the transcript of it. It was harrowing. As he knows, there are almost 2,000 inshore fishermen across the State. They have a producer organisation, which is good news. We also have the Irish Islands Marine Resource Organisation, IIMRO. However, both of them are getting very limited support in terms of their producer organisation. They are really trying to stand up for their communities with very limited resources. Will the Minister look at that? Will the Minister look at the issue of fuel subsidies? The fuel subsidy is nothing. He talks about the tie-up scheme. Inshore and islands could not avail of that. They had no financial support deal, and the cost of fuel is increasing again. He might address supports and financial supports for the producer organisations. The Minister knows about the collapse of the crab and shrimp markets. Can he provide financial supports for that? The Minister has spoken about piers and harbours. Investment in piers and harbours came from the Brexit adjustment reserve fund. European money, which is basically called redundancy money in the industry, was given to make up for the huge loss of income to our industry. That money is being invested in piers and harbours. I would argue that it should be central Exchequer capital funding. Certainly, a good proportion of it should be going towards that. The Government has spent tens of millions of this Brexit adjustment reserve fund money on piers and harbours. Why has it not given financial assistance directly on fuel, as requested, compensating for the collapse of crab and shrimp and the issue of supporting the producer organisations? Finally, because the Minister will only have about one minute to respond to me, I will mention the area of aquaculture. The Minister will know that in a recent speech in this Chamber, I spoke about the impact of recent changes in aquaculture in terms of Brexit. There are new export requirements for the live bivalve mollusc. Costs, logistics, paperwork and bureaucracy have all increased. I ask the Minister to engage with the IFA's aquaculture committee on this issue because this is having a serious impact on its members. I ask him to pay attention to that issue, too.	spk_331
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-02-14	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_10	As the Taoiseach knows, the upgrading of the A5 to a dual carriageway from Derry to Aughnacloy is crucial, not just for road safety but for the economic regeneration of the north-west region. The Government committed to co-fund the project under the St. Andrews Agreement. That was withdrawn. With the restoration of the executive, there is a renewed momentum. The Taoiseach will be aware of the public hearings. We are very hopeful that project can commence this year. Will the Government recommit to co-fund the project to make sure that it is done as soon as possible and with no further delays?	spk_121
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-01-30	dail	33	An tOrd Gnó - Order of Business	dbsect_3	It is not agreed.	spk_26
Padraig Mac Lochlainn	51	Unknown	Donegal	#PadraigMacLochlainn	2024-01-30	dail	33	An tOrd Gnó - Order of Business	dbsect_3	It should be me.	spk_28
