name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-21	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_10	We have almost 9,000 apprentices waiting for off-the-job training who want to build the homes that we so desperately need. This is a real-life impact. I received a message from one such apprentice and he said:Hi, I am an apprentice. I have been working for below-minimum wage as a plumber for the last 17 months. I am still waiting to go to phase 2 for over a year. I feel exploited since I have not been to college. I have been worked to my limits on a wage of €7.52 an hour. I have given all to my craft and I have had nothing but hardship given back but I continue to work hard every day.What is the Taoiseach going to do about it?	spk_207
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-21	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_10	It was about the waiting list.	spk_210
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-21	dail	33	Ceisteanna ar Pholasaí nó ar Reachtaíocht - Questions on Policy or Legislation	dbsect_10	There are 9,000 apprentices waiting for off-the-job training.	spk_212
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-14	dail	33	Business Costs for Micro, Small and Medium Enterprises: Motion [Private Members]	dbsect_8	An tAire Stáit and I both know the very real impact business closures are having across Galway. This is an issue we see in our cities, our towns and our more rural and isolated areas. In any local town, you will see the coffee shop, the butcher, the local grocery shop, the bars, the restaurants and the hotels. Any one of these closing can have an impact on the area. If we ignore the fact that these businesses are struggling and that businesses are telling us that they are going to have to close their doors, we do so at our own peril because of the impact these businesses have on their local communities, the vibrancy they bring to them and the job opportunities they create and because the amount of money in circulation increases when people are employed in the local area. One business owner in the Connemara area, a very rural area, contacted me to say that they are extremely concerned that they will not be able to keep the doors open until the summer. That is the kind of impact we will see if we do not take this crisis seriously at this very moment in time. Inné, phléigh muid an méid atá ag tarlú sa nGaeltacht maidir le cúrsaí pleanála. Dar liomsa, baineann sé seo ar fad le buninfreastruchtúr nó bunseirbhísí na Gaeltachta. Muna bhfuil daoine in ann teach a thógáil, a fháil ar cíos nó a cheannach, ní bheidh siad in ann fanacht sa nGaeltacht. Ar an taobh eile den scéal, muna bhfuil gnólachtaí agus an cineál seirbhísí sin sa gceantar agus muna bhfuil caiféanna, bialanna agus tithe tábhairne in ann fanacht ar oscailt, ciallaíonn sé sin nach bhfuil na bunseirbhísí sin ann. Dúirt gnólacht áirithe liom go bhfuil siad an-bhuartha nach mbeidh siad in ann fanacht ar oscailt go dtí an samhradh toisc go bhfuil siad ag streachailt an oiread sin. Tá sé fíorthábhachtach go n-éistfidh an Rialtas leis na comhlachtaí sin mar beidh sé fíordhona dá mbeadh orthu dúnadh.	spk_50
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-14	dail	33	Recent Developments in Northern Ireland: Statements	dbsect_19	Cuirim fáilte roimh an bplé seo ach go háirithe ós rud é go bhfuil an Feidhmeannas tar éis teacht le chéile arís agus is rud iontach é sin dár ndóigh. Tréaslaím le mo chomhghleacaí féin Michelle O’Neill a post nua agus tá mé ag súil le feiceáil céard a bhéas á dhéanamh sna míonna atá le teacht. I welcome the opportunity to discuss this. It is particularly welcome that we are able to discuss what happened on Saturday, 3 February, and the fact that what happened was a very historic and momentous day. It was a day that many would never have thought possible, including many in my own family as well. To me, without question, the day really was a day of hope and of looking towards the future, and what might be. I congratulate my own colleague, Michelle O'Neill, on her new position as First Minister. It has been very clear from the get-go that Michelle will be a First Minister for all. We now need to ensure that all of the all-island institutions are up and running so that we can deliver a better future and a better Ireland for everyone. Teachta O'Dowd mentioned that we need to make sure that we are preparing for that future that I hope to see, namely, a united Ireland. He is correct that we need to make sure that we are preparing, and that we cannot see happen what has happened in other places, where referendums were run without preparation. That is why we have been always very clear on the need for the Government to have and to constitute a citizens' assembly to discuss that very future. I also congratulate my colleague, Conor Murphy, on his new post as Minister for the Economy. It is an extremely exciting time, specifically for the third level sector. I know he will have a strong focus on third level mobility for North and South and increasing cross-Border mobility, which is crucially important for our all-island economy and indeed for students' experiences going forward. I look forward to that.	spk_205
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-13	dail	33	An tOrd Gnó - Order of Business	dbsect_3	Gabhaim buíochas leis an gCeann Comhairle. Bhí agóid taobh amuigh de Theach Laighean inniu le daoine a bhí bailithe ó chuile cheann de na Gaeltachtaí chun aird a tharraingt ar an gá le hathrú suntasach ar an mBille um Pleanáil agus Forbairt (Leasú). Tá siad ag éileamh go mbeidh a gcearta teanga san áireamh sa Bhille nua agus go mbeidh an Ghaeltacht lárnach sna comhráite faoin reachtaíocht. Faoi láthair, tá na cosaintí don Ghaeltacht níos laige sa Bhille molta ná sa dlí mar atá sé anois agus cheana féin, níl daoine Gaeltachta in ann teach a thógáil, nó a aimsiú fiú, ina gceantar féin. Mar gheall air sin tá siad ag mothú go bhfuil bánú ag teacht ar an nGaeltacht. An nglacfaidh an Rialtas le leasuithe chun tithíocht agus todhchaí a chinntiú do phobal na Gaeltachta? This relates to the protest outside the Dáil today in relation to planning, particularly in the Gaeltacht. Many people feel they cannot, build, buy or rent in Gaeltacht areas, specifically with reference to the Bill today.	spk_89
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-08	dail	33	Public Transport	dbsect_36	Gabhaim buíochas leis an Aire Stáit as an Saincheist seo a thógáil. Is Saincheist fíorthábhachtach í seo mar gheall go bhfuilimid ag breathnú ar chúram oideachais do pháistí óga sa Ghaeltacht. Táim cinnte go bhfuil sé arduithe agam leis an Aire cheana, ar ábhar éagsúil, an tábhacht a bhaineann le cinntiú go bhfuil seirbhísí ar fáil do cheantrachaí Gaeltachta. Is seirbhís luathoideachais atá i gceist anseo. Tá an t-ionad tacaíochta teaghlaigh ar an bhfód ó 2009 agus bhí deacrachtaí éagsúla aige. Tuigim go raibh rudaí nua agus cabhair nó tacaíocht ón Rialtas a bhain le cúram leanaí ach tá an t-ionad anois an-bhuartha go mbeidh air a chuid doirse a dhúnadh ag deireadh na míosa. Ar ndóigh, tá go leor teaghlaigh sa cheantar faoi bhrú uafásach dá bharr mar tá 120 páiste ag freastal ar an seirbhís seo go laethúil agus ní hé seo an chéad uair go raibh ar bhainisteoir an ionaid é a fhágáil. Léiríonn sé arís eile go gcaithfimid breathnú ar an íocaíocht a bhíonn á fáil ag daoine atá ag obair san earnáil seo ar an gcéad dul síos. Chomh maith le sin, caithfimid breathnú ar sheirbhísí sa Ghaeltacht ina iomláine chun a chinntiú go bhfuil an tacaíocht ann do dhaoine a bheith in ann obair sa Ghaeltacht. Más rud é gur ar an luathoideachas atáimid ag caint ar, nó ar an dara leibhéil nó pé rud é, caithfimid a chinntiú go bhfuil an tacaíocht sin ann. Tá sé sin fíorthábhachtach, ach go háirithe má táimid i ndáiríre go bhfuilimid ag iarraidh go mbeadh teaghlaigh óga in ann a gclann a thógáil sa Ghaeltacht. Ar ndóigh, tá deacrachtaí eile ann mar gheall go mbíonn ar na tuismitheoirí taisteal níos faide agus iad ag dul ag obair toisc go bhfuil siad ina gcónaí sa Ghaeltacht. I thank the Minister of State for taking this Topical issue. This relates to an ionad tacaíochta teaghlaigh that has been open since 2009 and specifically deals with children from six months to 12 years of age and early education. I am sure the Minister of State has heard me speak about the issue of making sure that we have services in the Gaeltacht in the Chamber before. It looks like this service will have to close by the end of the month because the manager will be leaving and there are serious difficulties with recruitment. My colleague, Deputy Funchion, has long been raising the issue of ensuring there is adequate pay in the sector. I am fully aware of the things the Government has done in relation to childcare but I am deeply concerned about the impact this is having on the 120 children and their families who are dealing with this particular service every single day and the people working in it. To me, it is also about the services that are needed, whether in early years education or childcare. We see the same issues in secondary education, where it is harder to recruit in these Gaeltacht areas. If we are serious about maintaining the Irish language and people being able to raise these families in these areas, we need to address them. There is a deep concern now. The ionad has been on the go since 2009, but there have been issues continuously with managers having to leave. It is about providing supports for the early education sector.	spk_279
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-08	dail	33	Public Transport	dbsect_36	Gabhaim buíochas leis an Aire Stáit. Maidir leis an gceist a bheadh agam i ndáiríre, tá sé soiléir go bhfuil cineál géarchéime leis an ionad tacaíochta seo. Léiríonn an t-ainm atá air, “ionad tacaíocht”, agus an téarma “crann taca” go dtugann sé tacaíocht do theaghlaigh sa cheantar ach, má bhreathnaímid ar an nGaeltacht ina iomláine agus ar na príomhsheirbhísí atá ag teastáil agus a gcaithfear a chur ar fáil sna ceantair seo ionas gur féidir le daoine a gcuid teaghlaigh a thógáil iontu, céard go díreach atá an tAire agus an Roinn ag déanamh chun breathnú ar an mbealach trínar féidir tacaíocht a thabhairt agus cén cineál acmhainní gur féidir a thabhairt don earnáil seo sa Ghaeltacht? The issue is coming to a head with regard to the specific early education provider that we are talking about here. It shows what can happen more broadly in Gaeltacht areas in terms of resources. What are the Minister and the Department doing in respect of specific resources for Gaeltacht communities and for Irish language resources in this sector? If we want to be realistic about people being able to raise their families through Irish in the Gaeltacht areas, we need to make sure these basic services are provided. One man contacted me to say that they were so happy to get the place in order that they could raise their children in the Gaeltacht area.What specifically are the Minister and the Government doing on that?	spk_281
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-08	dail	33	Early Childhood Care and Education	dbsect_37	Gabhaim buíochas leis an Aire Stáit as an Saincheist seo a thógáil. Is Saincheist fíorthábhachtach í seo mar gheall go bhfuilimid ag breathnú ar chúram oideachais do pháistí óga sa Ghaeltacht. Táim cinnte go bhfuil sé arduithe agam leis an Aire cheana, ar ábhar éagsúil, an tábhacht a bhaineann le cinntiú go bhfuil seirbhísí ar fáil do cheantrachaí Gaeltachta. Is seirbhís luathoideachais atá i gceist anseo. Tá an t-ionad tacaíochta teaghlaigh ar an bhfód ó 2009 agus bhí deacrachtaí éagsúla aige. Tuigim go raibh rudaí nua agus cabhair nó tacaíocht ón Rialtas a bhain le cúram leanaí ach tá an t-ionad anois an-bhuartha go mbeidh air a chuid doirse a dhúnadh ag deireadh na míosa. Ar ndóigh, tá go leor teaghlaigh sa cheantar faoi bhrú uafásach dá bharr mar tá 120 páiste ag freastal ar an seirbhís seo go laethúil agus ní hé seo an chéad uair go raibh ar bhainisteoir an ionaid é a fhágáil. Léiríonn sé arís eile go gcaithfimid breathnú ar an íocaíocht a bhíonn á fáil ag daoine atá ag obair san earnáil seo ar an gcéad dul síos. Chomh maith le sin, caithfimid breathnú ar sheirbhísí sa Ghaeltacht ina iomláine chun a chinntiú go bhfuil an tacaíocht ann do dhaoine a bheith in ann obair sa Ghaeltacht. Más rud é gur ar an luathoideachas atáimid ag caint ar, nó ar an dara leibhéil nó pé rud é, caithfimid a chinntiú go bhfuil an tacaíocht sin ann. Tá sé sin fíorthábhachtach, ach go háirithe má táimid i ndáiríre go bhfuilimid ag iarraidh go mbeadh teaghlaigh óga in ann a gclann a thógáil sa Ghaeltacht. Ar ndóigh, tá deacrachtaí eile ann mar gheall go mbíonn ar na tuismitheoirí taisteal níos faide agus iad ag dul ag obair toisc go bhfuil siad ina gcónaí sa Ghaeltacht. I thank the Minister of State for taking this Topical issue. This relates to an ionad tacaíochta teaghlaigh that has been open since 2009 and specifically deals with children from six months to 12 years of age and early education. I am sure the Minister of State has heard me speak about the issue of making sure that we have services in the Gaeltacht in the Chamber before. It looks like this service will have to close by the end of the month because the manager will be leaving and there are serious difficulties with recruitment. My colleague, Deputy Funchion, has long been raising the issue of ensuring there is adequate pay in the sector. I am fully aware of the things the Government has done in relation to childcare but I am deeply concerned about the impact this is having on the 120 children and their families who are dealing with this particular service every single day and the people working in it. To me, it is also about the services that are needed, whether in early years education or childcare. We see the same issues in secondary education, where it is harder to recruit in these Gaeltacht areas. If we are serious about maintaining the Irish language and people being able to raise these families in these areas, we need to address them. There is a deep concern now. The ionad has been on the go since 2009, but there have been issues continuously with managers having to leave. It is about providing supports for the early education sector.	spk_279
Mairead Farrell	43	Unknown	Galway West	#MaireadFarrell	2024-02-08	dail	33	Early Childhood Care and Education	dbsect_37	Gabhaim buíochas leis an Aire Stáit. Maidir leis an gceist a bheadh agam i ndáiríre, tá sé soiléir go bhfuil cineál géarchéime leis an ionad tacaíochta seo. Léiríonn an t-ainm atá air, “ionad tacaíocht”, agus an téarma “crann taca” go dtugann sé tacaíocht do theaghlaigh sa cheantar ach, má bhreathnaímid ar an nGaeltacht ina iomláine agus ar na príomhsheirbhísí atá ag teastáil agus a gcaithfear a chur ar fáil sna ceantair seo ionas gur féidir le daoine a gcuid teaghlaigh a thógáil iontu, céard go díreach atá an tAire agus an Roinn ag déanamh chun breathnú ar an mbealach trínar féidir tacaíocht a thabhairt agus cén cineál acmhainní gur féidir a thabhairt don earnáil seo sa Ghaeltacht? The issue is coming to a head with regard to the specific early education provider that we are talking about here. It shows what can happen more broadly in Gaeltacht areas in terms of resources. What are the Minister and the Department doing in respect of specific resources for Gaeltacht communities and for Irish language resources in this sector? If we want to be realistic about people being able to raise their families through Irish in the Gaeltacht areas, we need to make sure these basic services are provided. One man contacted me to say that they were so happy to get the place in order that they could raise their children in the Gaeltacht area.What specifically are the Minister and the Government doing on that?	spk_281
