name	age	party	constituency	pid	date	house_code	house_no	debate_section_topic	debate_section_id	contribution	order_in_discourse
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	I want to ask the Minister about the changes made recently to the INIS Oireachtas email address and whether any representations from TDs about immigration and asylum issues will be acknowledged and processed.	spk_1
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	I thank the Minister for the reply. Are there plans to expand it so that other queries can be taken by Oireachtas Members? I noticed that some replies received from the system suggested that no representations would be considered were being sent to some TDs. Are there plans to expand this? For example, 100,000 migrant visas were issued in 2022. A large number are going through the system. It is often a cause of delay and anxiety for people when progress does not seem to have been made after questions have been asked and replied to. We need a fair and efficient system. Sometimes the system seems to be rather opaque, or there does not seem to be a system according to some of the people who have come into my office. The delays and the lack of enforcement have been exploited by some people with a different agenda. It is being used to exploit the frustration that people in communities feel with regard to GPs and housing	spk_3
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	With regard to the investment being made in the process, I understand that many more staff have been employed. Are there statistics? I know that the international protection accommodation services, IPAS, are quite good at publishing the statistics on those staying with it. Will there be regular reports from the IPO to the justice committee? More co-ordination is needed to ensure those who have applications turned down know what is happening with them. Will any extra efforts be made on co-ordination between social welfare, IPAS and the IPO in respect of what happens to people after their applications for leave to remain are exhausted?	spk_5
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	Will the Minister provide a breakdown in tabular form of the targeted number of Garda recruits in each cohort who are beginning training and who will attest in Templemore for the year 2024?	spk_7
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	To clarify, did individuals from new communities comprise 27% of the applicants or of the intake who would be starting the class?	spk_9
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	The Minister will probably be aware that the justice committee visited the Garda Training College in November. We were impressed by the level of professionalism in Templemore. The college was anxious to stress that it was never actually closed during Covid, only that a hybrid model was introduced. We have called for that to continue. Templemore has the capacity for 1,000 recruits per year. The figures later this year will be interesting. I understand that in some counties, only two new Garda recruits have been deployed in recent years. The emphasis has been on deploying them to cities instead. This has resulted in many cohorts or teams of community gardaí being reduced in size. It is vital that their numbers be increased.	spk_11
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_3	The Minister mentioned that there was one class less coming through Templemore this year. Is that because of the attestations? A group was attested just before Christmas and was then more or less sent home again. Bringing forward those recruits’ attestations looked like a bit of a stunt. We cannot have a box-ticking approach to increasing the number, as visibility is vital. How soon does the Minister expect the new recruits to the Garda Reserve to be on the street? Every time we speak to people, particularly in Dublin’s inner city, the issue of visibility is raised. They need to see a police presence on street corners. We have been calling for this since the middle of last summer when there were some difficulties. It is important that this be fast-tracked as quickly as possible.	spk_13
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	Immigration Support Services	dbsect_4	I want to ask the Minister about the changes made recently to the INIS Oireachtas email address and whether any representations from TDs about immigration and asylum issues will be acknowledged and processed.	spk_1
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	Immigration Support Services	dbsect_4	I thank the Minister for the reply. Are there plans to expand it so that other queries can be taken by Oireachtas Members? I noticed that some replies received from the system suggested that no representations would be considered were being sent to some TDs. Are there plans to expand this? For example, 100,000 migrant visas were issued in 2022. A large number are going through the system. It is often a cause of delay and anxiety for people when progress does not seem to have been made after questions have been asked and replied to. We need a fair and efficient system. Sometimes the system seems to be rather opaque, or there does not seem to be a system according to some of the people who have come into my office. The delays and the lack of enforcement have been exploited by some people with a different agenda. It is being used to exploit the frustration that people in communities feel with regard to GPs and housing	spk_3
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	Immigration Support Services	dbsect_4	With regard to the investment being made in the process, I understand that many more staff have been employed. Are there statistics? I know that the international protection accommodation services, IPAS, are quite good at publishing the statistics on those staying with it. Will there be regular reports from the IPO to the justice committee? More co-ordination is needed to ensure those who have applications turned down know what is happening with them. Will any extra efforts be made on co-ordination between social welfare, IPAS and the IPO in respect of what happens to people after their applications for leave to remain are exhausted?	spk_5
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_5	Will the Minister provide a breakdown in tabular form of the targeted number of Garda recruits in each cohort who are beginning training and who will attest in Templemore for the year 2024?	spk_7
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_5	To clarify, did individuals from new communities comprise 27% of the applicants or of the intake who would be starting the class?	spk_9
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_5	The Minister will probably be aware that the justice committee visited the Garda Training College in November. We were impressed by the level of professionalism in Templemore. The college was anxious to stress that it was never actually closed during Covid, only that a hybrid model was introduced. We have called for that to continue. Templemore has the capacity for 1,000 recruits per year. The figures later this year will be interesting. I understand that in some counties, only two new Garda recruits have been deployed in recent years. The emphasis has been on deploying them to cities instead. This has resulted in many cohorts or teams of community gardaí being reduced in size. It is vital that their numbers be increased.	spk_11
Pa Daly	44	Unknown	Kerry	#PaDaly	2024-02-22	dail	33	An Garda Síochána	dbsect_5	The Minister mentioned that there was one class less coming through Templemore this year. Is that because of the attestations? A group was attested just before Christmas and was then more or less sent home again. Bringing forward those recruits’ attestations looked like a bit of a stunt. We cannot have a box-ticking approach to increasing the number, as visibility is vital. How soon does the Minister expect the new recruits to the Garda Reserve to be on the street? Every time we speak to people, particularly in Dublin’s inner city, the issue of visibility is raised. They need to see a police presence on street corners. We have been calling for this since the middle of last summer when there were some difficulties. It is important that this be fast-tracked as quickly as possible.	spk_13
